Code,Name,Date,Open,High,Low,Close,Pct_Change,Amount(million),Volume(shares)
NDX.GI,NASDAQ100,1998-05-14,1263.08,1280.28,1249.81,1266.1,0.0024,0,159910500
NDX.GI,NASDAQ100,1998-05-15,1266.1,1270.51,1245.96,1249.49,-0.0131,0,171491000
NDX.GI,NASDAQ100,1998-05-18,1249.49,1255.39,1232.3,1242.5,-0.0056,0,154364700
NDX.GI,NASDAQ100,1998-05-19,1242.5,1259.22,1242.5,1255.59,0.0105,0,152647000
NDX.GI,NASDAQ100,1998-05-20,1255.59,1259.57,1233.79,1237.75,-0.0142,0,162422600
NDX.GI,NASDAQ100,1998-05-21,1237.75,1242.35,1221.45,1223.7,-0.0114,0,159161700
NDX.GI,NASDAQ100,1998-05-22,1227.16,1227.3,1210.51,1214.13,-0.0078,0,165513800
NDX.GI,NASDAQ100,1998-05-26,1214.13,1226.79,1198.29,1200.12,-0.0115,0,157624200
NDX.GI,NASDAQ100,1998-05-27,1200.12,1209.93,1180.23,1209.46,0.0078,0,197577800
NDX.GI,NASDAQ100,1998-05-28,1209.46,1218.16,1200.24,1214.83,0.0044,0,142269600
NDX.GI,NASDAQ100,1998-05-29,1214.83,1220.65,1191.75,1192.07,-0.0187,0,151180600
NDX.GI,NASDAQ100,1998-06-01,1192.07,1192.07,1160.13,1165.55,-0.0222,0,191856900
NDX.GI,NASDAQ100,1998-06-02,1165.55,1190.38,1165.55,1187.15,0.0185,0,201923000
NDX.GI,NASDAQ100,1998-06-03,1187.15,1198.88,1163.55,1163.98,-0.0195,0,206140800
NDX.GI,NASDAQ100,1998-06-04,1163.98,1195.23,1163.98,1195.19,0.0268,0,174394500
NDX.GI,NASDAQ100,1998-06-05,1195.19,1207.73,1187.63,1206.7,0.0096,0,162527600
NDX.GI,NASDAQ100,1998-06-08,1206.7,1212.75,1199.92,1207.02,0.0003,0,137670800
NDX.GI,NASDAQ100,1998-06-09,1207.01,1224.4,1203.99,1223.48,0.0136,0,144794700
NDX.GI,NASDAQ100,1998-06-10,1223.48,1224.13,1199.26,1199.3,-0.0198,0,160658100
NDX.GI,NASDAQ100,1998-06-11,1199.3,1206.96,1184.04,1185.11,-0.0118,0,173605000
NDX.GI,NASDAQ100,1998-06-12,1185.11,1187.33,1157.88,1186.99,0.0016,0,193794700
NDX.GI,NASDAQ100,1998-06-15,1186.99,1194.31,1169.14,1173.57,-0.0113,0,163398900
NDX.GI,NASDAQ100,1998-06-16,1173.57,1211.28,1173.57,1210.9,0.0318,0,191374800
NDX.GI,NASDAQ100,1998-06-17,1210.9,1236.38,1210.9,1224.08,0.0109,0,234505800
NDX.GI,NASDAQ100,1998-06-18,1224.09,1230.73,1216,1227.33,0.0027,0,184617700
NDX.GI,NASDAQ100,1998-06-19,1227.33,1242.54,1227.33,1239.71,0.0101,0,187580100
NDX.GI,NASDAQ100,1998-06-22,1239.71,1265.96,1234.18,1263.93,0.0195,0,180721900
NDX.GI,NASDAQ100,1998-06-23,1264.64,1302.69,1264.64,1302.39,0.0304,0,223963700
NDX.GI,NASDAQ100,1998-06-24,1302.39,1331.84,1295.48,1331.16,0.0221,0,260333000
NDX.GI,NASDAQ100,1998-06-25,1331.16,1347.44,1308.07,1311.4,-0.0148,0,234374200
NDX.GI,NASDAQ100,1998-06-26,1311.4,1324.48,1311.4,1320.94,0.0073,0,147710000
NDX.GI,NASDAQ100,1998-06-29,1320.94,1342.82,1320.94,1339.71,0.0142,0,147076300
NDX.GI,NASDAQ100,1998-06-30,1339.72,1345.19,1323.12,1337.34,-0.0018,0,185181500
NDX.GI,NASDAQ100,1998-07-01,1337.34,1356.16,1336.11,1356.14,0.0141,0,198693700
NDX.GI,NASDAQ100,1998-07-02,1356.14,1356.14,1331.84,1332.53,-0.0174,0,212922800
NDX.GI,NASDAQ100,1998-07-06,1332.53,1344.52,1326.07,1342.58,0.0075,0,164356500
NDX.GI,NASDAQ100,1998-07-07,1342.58,1347.15,1329.74,1346.32,0.0028,0,175376700
NDX.GI,NASDAQ100,1998-07-08,1346.32,1378.61,1346.31,1377.84,0.0234,0,227466300
NDX.GI,NASDAQ100,1998-07-09,1377.84,1391.37,1373.78,1383.22,0.0039,0,214516500
NDX.GI,NASDAQ100,1998-07-10,1383.22,1392.57,1369.06,1391.11,0.0057,0,155527100
NDX.GI,NASDAQ100,1998-07-13,1391.11,1420.91,1391.11,1420.58,0.0212,0,173247200
NDX.GI,NASDAQ100,1998-07-14,1420.59,1432.78,1414.96,1418.13,-0.0017,0,191085400
NDX.GI,NASDAQ100,1998-07-15,1418.13,1452.07,1418.13,1449.58,0.0222,0,245563100
NDX.GI,NASDAQ100,1998-07-16,1449.58,1458.61,1437.48,1452.62,0.0021,0,237474800
NDX.GI,NASDAQ100,1998-07-17,1452.62,1466.13,1444.77,1463.97,0.0078,0,207086600
NDX.GI,NASDAQ100,1998-07-20,1463.97,1478.44,1458.6,1465.89,0.0013,0,182484100
NDX.GI,NASDAQ100,1998-07-21,1465.89,1485.97,1430.76,1431.89,-0.0232,0,231923900
NDX.GI,NASDAQ100,1998-07-22,1431.89,1439,1405.25,1430.58,-0.0009,0,264399200
NDX.GI,NASDAQ100,1998-07-23,1430.58,1445.97,1405.76,1405.8,-0.0173,0,212061600
NDX.GI,NASDAQ100,1998-07-24,1405.8,1425.76,1385.86,1408.6,0.002,0,209376800
NDX.GI,NASDAQ100,1998-07-27,1408.6,1426.47,1370.97,1426.37,0.0126,0,232235600
NDX.GI,NASDAQ100,1998-07-28,1426.37,1433.71,1392.33,1393.28,-0.0232,0,247264900
NDX.GI,NASDAQ100,1998-07-29,1393.28,1412.7,1377.44,1380.08,-0.0095,0,195740000
NDX.GI,NASDAQ100,1998-07-30,1380.08,1422.14,1380.08,1422.05,0.0304,0,207777200
NDX.GI,NASDAQ100,1998-07-31,1422.06,1422.06,1376.61,1377.26,-0.0315,0,173293400
NDX.GI,NASDAQ100,1998-08-03,1377.26,1383.93,1360.39,1368.44,-0.0064,0,175817100
NDX.GI,NASDAQ100,1998-08-04,1368.44,1386.09,1316.37,1317.24,-0.0374,0,253970700
NDX.GI,NASDAQ100,1998-08-05,1317.24,1343.12,1289.91,1329.9,0.0096,0,289841500
NDX.GI,NASDAQ100,1998-08-06,1329.9,1365.87,1317.16,1365.87,0.027,0,222035000
NDX.GI,NASDAQ100,1998-08-07,1365.87,1388.56,1359.23,1364.07,-0.0013,0,218562300
NDX.GI,NASDAQ100,1998-08-10,1364.08,1375.41,1352.66,1362.88,-0.0009,0,148320300
NDX.GI,NASDAQ100,1998-08-11,1362.88,1362.88,1316.48,1330.13,-0.024,0,216532500
NDX.GI,NASDAQ100,1998-08-12,1330.13,1357.59,1330.13,1354.66,0.0184,0,194195500
NDX.GI,NASDAQ100,1998-08-13,1354.66,1363.62,1338.24,1338.39,-0.012,0,170589300
NDX.GI,NASDAQ100,1998-08-14,1338.39,1352.84,1320.01,1330.04,-0.0062,0,210230300
NDX.GI,NASDAQ100,1998-08-17,1330.04,1367.95,1322.19,1367.79,0.0284,0,204782200
