Code,Name,Date,Open,High,Low,Close,Pct_Change,Amount,Volume
NDX.GI,纳斯达克100,2025-06-23 13:10,21676.66,21703.46,21657.05,21703.1,0.0012,0,0
NDX.GI,纳斯达克100,2025-06-23 13:15,21703.68,21722.21,21691.31,21712.56,0.0004,0,0
NDX.GI,纳斯达克100,2025-06-23 13:20,21713.71,21737.54,21711.93,21735.07,0.001,0,0
NDX.GI,纳斯达克100,2025-06-23 13:25,21733.96,21757.3,21732.9,21756.6,0.001,0,0
NDX.GI,纳斯达克100,2025-06-23 13:30,21757,21824.26,21754.11,21818.69,0.0029,0,0
NDX.GI,纳斯达克100,2025-06-23 13:35,21820.59,21832.84,21812.31,21824.3,0.0003,0,0
NDX.GI,纳斯达克100,2025-06-23 13:40,21824.1,21847.85,21824.1,21840.8,0.0008,0,0
NDX.GI,纳斯达克100,2025-06-23 13:45,21826.69,21846.67,21818.37,21846.29,0.0003,0,0
NDX.GI,纳斯达克100,2025-06-23 13:50,21845.95,21854.98,21833.26,21835.57,-0.0005,0,0
NDX.GI,纳斯达克100,2025-06-23 13:55,21835.85,21839.87,21820.27,21827.64,-0.0004,0,0
NDX.GI,纳斯达克100,2025-06-23 14:00,21827.13,21835.21,21826.34,21831.6,0.0002,0,0
NDX.GI,纳斯达克100,2025-06-23 14:05,21832.3,21850.86,21827.5,21848.31,0.0008,0,0
NDX.GI,纳斯达克100,2025-06-23 14:10,21848.92,21859.09,21844.75,21847.9,0,0,0
NDX.GI,纳斯达克100,2025-06-23 14:15,21848.07,21855.65,21844.77,21855.65,0.0004,0,0
NDX.GI,纳斯达克100,2025-06-23 14:20,21852.6,21852.6,21837.48,21845.13,-0.0005,0,0
NDX.GI,纳斯达克100,2025-06-23 14:25,21845.04,21848.67,21833.74,21837.07,-0.0004,0,0
NDX.GI,纳斯达克100,2025-06-23 14:30,21833.23,21839.83,21823.85,21827.16,-0.0005,0,0
NDX.GI,纳斯达克100,2025-06-23 14:35,21827.02,21833.96,21823.92,21828.08,0,0,0
NDX.GI,纳斯达克100,2025-06-23 14:40,21828.35,21835.76,21821.94,21826.27,-0.0001,0,0
NDX.GI,纳斯达克100,2025-06-23 14:45,21826.12,21829.05,21818.52,21826.19,0,0,0
NDX.GI,纳斯达克100,2025-06-23 14:50,21826.54,21827.57,21815.16,21815.16,-0.0005,0,0
NDX.GI,纳斯达克100,2025-06-23 14:55,21812.86,21817,21804.96,21805.72,-0.0004,0,0
