代码,名称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌幅,成交额(百万),成交量(股)
SPX.GI,标普500,1928-08-30,20.61,20.61,20.61,20.61,0.0015,0,0
SPX.GI,标普500,1928-08-31,20.87,20.87,20.87,20.87,0.0126,0,0
SPX.GI,标普500,1928-09-04,20.97,20.97,20.97,20.97,0.0048,0,0
SPX.GI,标普500,1928-09-05,21.07,21.07,21.07,21.07,0.0048,0,0
SPX.GI,标普500,1928-09-06,20.94,20.94,20.94,20.94,-0.0062,0,0
SPX.GI,标普500,1928-09-07,21.09,21.09,21.09,21.09,0.0072,0,0
SPX.GI,标普500,1928-09-10,20.92,20.92,20.92,20.92,-0.0081,0,0
SPX.GI,标普500,1928-09-11,21.08,21.08,21.08,21.08,0.0076,0,0
SPX.GI,标普500,1928-09-12,21.16,21.16,21.16,21.16,0.0038,0,0
SPX.GI,标普500,1928-09-13,21.14,21.14,21.14,21.14,-0.0009,0,0
SPX.GI,标普500,1928-09-14,21.14,21.14,21.14,21.14,0,0,0
SPX.GI,标普500,1928-09-17,21.33,21.33,21.33,21.33,0.009,0,0
SPX.GI,标普500,1928-09-18,21.18,21.18,21.18,21.18,-0.007,0,0
SPX.GI,标普500,1928-09-19,21.18,21.18,21.18,21.18,0,0,0
SPX.GI,标普500,1928-09-20,21.22,21.22,21.22,21.22,0.0019,0,0
SPX.GI,标普500,1928-09-21,21.36,21.36,21.36,21.36,0.0066,0,0
SPX.GI,标普500,1928-09-24,21.43,21.43,21.43,21.43,0.0033,0,0
SPX.GI,标普500,1928-09-25,21.41,21.41,21.41,21.41,-0.0009,0,0
SPX.GI,标普500,1928-09-26,21.4,21.4,21.4,21.4,-0.0005,0,0
SPX.GI,标普500,1928-09-27,21.13,21.13,21.13,21.13,-0.0126,0,0
SPX.GI,标普500,1928-09-28,21.14,21.14,21.14,21.14,0.0005,0,0
SPX.GI,标普500,1928-10-01,21.36,21.36,21.36,21.36,0.0104,0,0
SPX.GI,标普500,1928-10-02,21.26,21.26,21.26,21.26,-0.0047,0,0
SPX.GI,标普500,1928-10-03,21.19,21.19,21.19,21.19,-0.0033,0,0
SPX.GI,标普500,1928-10-04,21.26,21.26,21.26,21.26,0.0033,0,0
SPX.GI,标普500,1928-10-05,21.22,21.22,21.22,21.22,-0.0019,0,0
SPX.GI,标普500,1928-10-08,21.11,21.11,21.11,21.11,-0.0052,0,0
SPX.GI,标普500,1928-10-09,21.18,21.18,21.18,21.18,0.0033,0,0
SPX.GI,标普500,1928-10-10,21.41,21.41,21.41,21.41,0.0109,0,0
SPX.GI,标普500,1928-10-11,21.51,21.51,21.51,21.51,0.0047,0,0
SPX.GI,标普500,1928-10-15,21.65,21.65,21.65,21.65,0.0065,0,0
SPX.GI,标普500,1928-10-16,21.72,21.72,21.72,21.72,0.0032,0,0
SPX.GI,标普500,1928-10-17,21.79,21.79,21.79,21.79,0.0032,0,0
SPX.GI,标普500,1928-10-18,21.84,21.84,21.84,21.84,0.0023,0,0
SPX.GI,标普500,1928-10-19,21.96,21.96,21.96,21.96,0.0055,0,0
SPX.GI,标普500,1928-10-22,21.81,21.81,21.81,21.81,-0.0068,0,0
SPX.GI,标普500,1928-10-23,21.95,21.95,21.95,21.95,0.0064,0,0
SPX.GI,标普500,1928-10-24,21.99,21.99,21.99,21.99,0.0018,0,0
SPX.GI,标普500,1928-10-25,21.91,21.91,21.91,21.91,-0.0036,0,0
SPX.GI,标普500,1928-10-26,21.65,21.65,21.65,21.65,-0.0119,0,0
SPX.GI,标普500,1928-10-29,22,22,22,22,0.0162,0,0
SPX.GI,标普500,1928-10-30,21.76,21.76,21.76,21.76,-0.0109,0,0
SPX.GI,标普500,1928-10-31,21.68,21.68,21.68,21.68,-0.0037,0,0
SPX.GI,标普500,1928-11-01,21.99,21.99,21.99,21.99,0.0143,0,0
SPX.GI,标普500,1928-11-02,21.95,21.95,21.95,21.95,-0.0018,0,0
SPX.GI,标普500,1928-11-05,22.24,22.24,22.24,22.24,0.0132,0,0
SPX.GI,标普500,1928-11-06,22.5,22.5,22.5,22.5,0.0117,0,0
